width,layers,algo,runtime,flow,augment
10,4,FF,0.00043750001350417733,786,152
10,4,FF_scaling,0.000551699980860576,786,86
10,4,FF,0.0005730999982915819,1010,189
10,4,FF_scaling,0.0006330000178422779,1010,117
10,4,FF,0.00043479999294504523,826,192
10,4,FF_scaling,0.0003189000126440078,826,121
10,4,FF,0.0006255999905988574,1049,234
10,4,FF_scaling,0.0006550000107381493,1049,111
10,4,FF,0.0006631000142078847,1089,245
10,4,FF_scaling,0.0006017999839968979,1089,97
10,4,FF,0.0007390999817289412,1269,306
10,4,FF_scaling,0.0007261999999172986,1269,138
10,4,FF,0.0005020999815315008,1005,198
10,4,FF_scaling,0.000305800000205636,1005,114
10,4,FF,0.0003844000166282058,645,149
10,4,FF_scaling,0.0005401000089477748,645,95
10,4,FF,0.0005119999987073243,856,200
10,4,FF_scaling,0.0006186000246088952,856,106
10,4,FF,0.00034909998066723347,738,158
10,4,FF_scaling,0.0002209999947808683,738,86
20,4,FF,0.0021180000039748847,1685,364
20,4,FF_scaling,0.0013915000017732382,1685,243
20,4,FF,0.002584899979410693,1696,443
20,4,FF_scaling,0.0011433000036049634,1696,201
20,4,FF,0.0032903999963309616,2108,642
20,4,FF_scaling,0.0025733999791555107,2108,275
20,4,FF,0.0021123999904375523,1946,397
20,4,FF_scaling,0.0013413999986369163,1946,259
20,4,FF,0.0025198999792337418,1713,465
20,4,FF_scaling,0.0015737000212538987,1713,269
20,4,FF,0.0031716999947093427,2199,577
20,4,FF_scaling,0.0013006000081077218,2199,284
20,4,FF,0.0025368999922648072,2148,443
20,4,FF_scaling,0.002471899992087856,2148,267
20,4,FF,0.0027516999980434775,1824,491
20,4,FF_scaling,0.0026489000010769814,1824,233
20,4,FF,0.0024061999865807593,1684,446
20,4,FF_scaling,0.0023895000049378723,1684,240
20,4,FF,0.0021878000115975738,1763,481
20,4,FF_scaling,0.001210299989907071,1763,281
40,4,FF,0.012335300008999184,3895,869
40,4,FF_scaling,0.011424399999668822,3895,628
40,4,FF,0.013472999999066815,3408,1059
40,4,FF_scaling,0.011040800018236041,3408,511
40,4,FF,0.013965099991764873,3599,910
40,4,FF_scaling,0.011157700006151572,3599,531
40,4,FF,0.011935399990761653,3386,934
40,4,FF_scaling,0.008186300023226067,3386,526
40,4,FF,0.012522000004537404,3867,886
40,4,FF_scaling,0.006614999991143122,3867,564
40,4,FF,0.01374930000747554,4131,960
40,4,FF_scaling,0.008782500022789463,4131,615
40,4,FF,0.015270200005033985,3620,1004
40,4,FF_scaling,0.01367080002091825,3620,605
40,4,FF,0.011316799995256588,3511,737
40,4,FF_scaling,0.01191499998094514,3511,577
40,4,FF,0.01485170001978986,3636,1043
40,4,FF_scaling,0.011130500002764165,3636,528
40,4,FF,0.014853900007437915,4193,950
40,4,FF_scaling,0.011479999986477196,4193,567
80,4,FF,0.09255120001034811,8646,2166
80,4,FF_scaling,0.07539550002547912,8646,1494
80,4,FF,0.08732759999111295,7616,2142
80,4,FF_scaling,0.0721342999895569,7616,1293
80,4,FF,0.08119739999528974,7549,1879
80,4,FF_scaling,0.06736909999744967,7549,1304
80,4,FF,0.07886020001024008,7610,1969
80,4,FF_scaling,0.07039569999324158,7610,1296
80,4,FF,0.07826500001829118,7572,1942
80,4,FF_scaling,0.0706287000211887,7572,1347
80,4,FF,0.09062839997932315,7978,2131
80,4,FF_scaling,0.04427519999444485,7978,1487
80,4,FF,0.09240160000626929,7916,1988
80,4,FF_scaling,0.07577779999701306,7916,1427
80,4,FF,0.08633599997847341,8127,1951
80,4,FF_scaling,0.05373040001722984,8127,1670
80,4,FF,0.08597980000195093,7239,1826
80,4,FF_scaling,0.0693901999911759,7239,1312
80,4,FF,0.08022879998316057,7360,2018
80,4,FF_scaling,0.04775329999392852,7360,1422
120,4,FF,0.3056272999965586,13095,3427
120,4,FF_scaling,0.22352650001994334,13095,2559
120,4,FF,0.25182830000994727,11220,3139
120,4,FF_scaling,0.20389319999958389,11220,2317
120,4,FF,0.29195300000719726,12289,3296
120,4,FF_scaling,0.16415510000661016,12289,2630
120,4,FF,0.24695170001359656,11629,2928
120,4,FF_scaling,0.21562549998634495,11629,2233
120,4,FF,0.2560269999958109,11559,2913
120,4,FF_scaling,0.20910949999233708,11559,2214
120,4,FF,0.25102609998430125,10910,2782
120,4,FF_scaling,0.21995239998796023,10910,2351
120,4,FF,0.2764428000082262,12519,3058
120,4,FF_scaling,0.19497419998515397,12519,2833
120,4,FF,0.24849820000235923,11331,3112
120,4,FF_scaling,0.1571107000054326,11331,2563
120,4,FF,0.28920889997971244,12174,3048
120,4,FF_scaling,0.23535030000493862,12174,2373
120,4,FF,0.26282929998706095,11266,3039
120,4,FF_scaling,0.149287500011269,11266,2358
